mission_identifier,startDate,endDate,institution,role,firstName,lastName
Cosmos 1887,09/29/1987,10/11/1987,University of Louisville,Co-Investigator,S.,Wellhausen
Cosmos 1887,09/29/1987,10/11/1987,"University of California, Los Angeles",Co-Investigator,R.,Zernicke
Cosmos 1887,09/29/1987,10/11/1987,NASA Ames Research Center (ARC),ARC Project Engineer,Michael,Skidmore
Cosmos 1887,09/29/1987,10/11/1987,NASA Ames Research Center (ARC),Co-Investigator,William,Berry
Cosmos 1887,09/29/1987,10/11/1987,University of Texas,Principal Investigator,Pauline,Duke
Cosmos 1887,09/29/1987,10/11/1987,Emory University,Co-Investigator,James,Hargrove
Cosmos 1887,09/29/1987,10/11/1987,Emory University,Co-Investigator,Dean,Jones
Cosmos 1887,09/29/1987,10/11/1987,NASA Ames Research Center (ARC),Co-Investigator,Katharine,Kato
Cosmos 1887,09/29/1987,10/11/1987,Emory University,Principal Investigator,Alfred,Merrill
Cosmos 1887,09/29/1987,10/11/1987,University of Texas,Co-Investigator,D.,Montufar- Solis
Cosmos 1887,09/29/1987,10/11/1987,Medical College of Wisconsin,Principal Investigator,Danny,Riley
Cosmos 1887,09/29/1987,10/11/1987,University of Louisville,Co-Investigator,Gerald,Sonnenfeld
Cosmos 1887,09/29/1987,10/11/1987,NASA Ames Research Center (ARC),Co-Investigator,James,Stevenson
Cosmos 1887,09/29/1987,10/11/1987,NASA Ames Research Center (ARC),Co-Investigator,Marilyn,Vasques
Cosmos 1887,09/29/1987,10/11/1987,Emory University,Co-Investigator,Elaine,Wang
Cosmos 1887,09/29/1987,10/11/1987,Tuskegee University,Co-Investigator,C.,Williams
Cosmos 1887,09/29/1987,10/11/1987,Hospital for Special Surgery,Co-Investigator,Stephen,Doty
Cosmos 1887,09/29/1987,10/11/1987,San Jose State University,Principal Investigator,Stanley,Ellis
Cosmos 1887,09/29/1987,10/11/1987,Indiana University,Co-Investigator,Lawrence,Garetto
Cosmos 1887,09/29/1987,10/11/1987,NASA Ames Research Center (ARC),Principal Investigator,Lanny,Keil
Cosmos 1887,09/29/1987,10/11/1987,NASA Ames Research Center (ARC),Co-Investigator,Emily,Morey- Holton
Cosmos 1887,09/29/1987,10/11/1987,Medical College of Wisconsin,Co-Investigator,Danny,Riley
Cosmos 1887,09/29/1987,10/11/1987,National Institutes of Mental Health,Principal Investigator,Maija,Mednieks
Cosmos 1887,09/29/1987,10/11/1987,NASA Ames Research Center (ARC),Co-Investigator,Richard,Grindeland
Cosmos 1887,09/29/1987,10/11/1987,NASA Ames Research Center (ARC),ARC BSP Project Scientist,Richard,Grindeland
Cosmos 1887,09/29/1987,10/11/1987,Washington University,Principal Investigator,Oliver,Lowry
